secCode,secName,orgId,announcementTitle,adjunctUrl
838171,邦德股份,gfbj0838171,邦德股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216371491.PDF
834062,科润智控,gfbj0834062,科润智控2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216371188.PDF
831305,海希通讯,gfbj0831305,海希通讯2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216371144.PDF
832491,奥迪威,gfbj0832491,奥迪威2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216370576.PDF
832662,方盛股份,gfbj0832662,方盛股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216370128.PDF
832225,利通科技,gfbj0832225,利通科技2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216367854.PDF
430418,苏轴股份,gfbj0430418,苏轴股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216367702.PDF
688217,睿昂基因,9900041746,睿昂基因2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216362727.PDF
688053,思科瑞,9900046510,成都思科瑞微电子股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216362695.PDF
603893,瑞芯微,9900033186,瑞芯微2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216362666.PDF
603078,江化微,9900030584,江阴江化微电子材料股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216362629.PDF
600566,济川药业,gssh0600566,湖北济川药业股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216362595.PDF
600241,ST时万,gssh0600241,ST时万辽宁时代万恒股份公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216362539.PDF
2008,大族激光,gssz0002008,大族激光2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216359168.PDF
2986,宇新股份,9900039828,宇新股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216359058.PDF
300223,北京君正,9900016187,北京君正2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-10/1216358936.PDF
